,lines,no_contractions,no_contractions_string,tokenized,lower,no_punctuations,stopwords_removed,pos_tags,lemmatized
10,"A tree is known by its fruit; a person by their deeds. A good deed is never lost; whoever sows courtesy reaps friendship, and whoever plants kindness gathers love.","['A', 'tree', 'is', 'known', 'by', 'its', 'fruit;', 'a', 'person', 'by', 'their', 'deeds.', 'A', 'good', 'deed', 'is', 'never', 'lost;', 'whoever', 'sows', 'courtesy', 'reaps', 'friendship,', 'and', 'whoever', 'plants', 'kindness', 'gathers', 'love.']","A tree is known by its fruit; a person by their deeds. A good deed is never lost; whoever sows courtesy reaps friendship, and whoever plants kindness gathers love.","['A', 'tree', 'is', 'known', 'by', 'its', 'fruit', ';', 'a', 'person', 'by', 'their', 'deeds', '.', 'A', 'good', 'deed', 'is', 'never', 'lost', ';', 'whoever', 'sows', 'courtesy', 'reaps', 'friendship', ',', 'and', 'whoever', 'plants', 'kindness', 'gathers', 'love', '.']","['a', 'tree', 'is', 'known', 'by', 'its', 'fruit', ';', 'a', 'person', 'by', 'their', 'deeds', '.', 'a', 'good', 'deed', 'is', 'never', 'lost', ';', 'whoever', 'sows', 'courtesy', 'reaps', 'friendship', ',', 'and', 'whoever', 'plants', 'kindness', 'gathers', 'love', '.']","['a', 'tree', 'is', 'known', 'by', 'its', 'fruit', 'a', 'person', 'by', 'their', 'deeds', 'a', 'good', 'deed', 'is', 'never', 'lost', 'whoever', 'sows', 'courtesy', 'reaps', 'friendship', 'and', 'whoever', 'plants', 'kindness', 'gathers', 'love']","['tree', 'known', 'fruit', 'person', 'deeds', 'good', 'deed', 'never', 'lost', 'whoever', 'sows', 'courtesy', 'reaps', 'friendship', 'whoever', 'plants', 'kindness', 'gathers', 'love']","[('tree', 'NN'), ('known', 'VBN'), ('fruit', 'NN'), ('person', 'NN'), ('deeds', 'NNS'), ('good', 'JJ'), ('deed', 'NN'), ('never', 'RB'), ('lost', 'VBN'), ('whoever', 'NN'), ('sows', 'VBZ'), ('courtesy', 'NN'), ('reaps', 'NNS'), ('friendship', 'VBP'), ('whoever', 'JJ'), ('plants', 'NNS'), ('kindness', 'JJ'), ('gathers', 'NNS'), ('love', 'VBP')]","['tree', 'known', 'fruit', 'person', 'deed', 'good', 'deed', 'never', 'lost', 'whoever', 'sow', 'courtesy', 'reaps', 'friendship', 'whoever', 'plant', 'kindness', 'gather', 'love']"
11,If you were born with the weakness to fall. You were born with the strength to rise.,"['If', 'you', 'were', 'born', 'with', 'the', 'weakness', 'to', 'fall.', 'You', 'were', 'born', 'with', 'the', 'strength', 'to', 'rise.']",If you were born with the weakness to fall. You were born with the strength to rise.,"['If', 'you', 'were', 'born', 'with', 'the', 'weakness', 'to', 'fall', '.', 'You', 'were', 'born', 'with', 'the', 'strength', 'to', 'rise', '.']","['if', 'you', 'were', 'born', 'with', 'the', 'weakness', 'to', 'fall', '.', 'you', 'were', 'born', 'with', 'the', 'strength', 'to', 'rise', '.']","['if', 'you', 'were', 'born', 'with', 'the', 'weakness', 'to', 'fall', 'you', 'were', 'born', 'with', 'the', 'strength', 'to', 'rise']","['born', 'weakness', 'fall', 'born', 'strength', 'rise']","[('born', 'JJ'), ('weakness', 'NN'), ('fall', 'NN'), ('born', 'JJ'), ('strength', 'NN'), ('rise', 'NN')]","['born', 'weakness', 'fall', 'born', 'strength', 'rise']"
12,"Maybe who we are isn't so much about what we do, but rather what we're capable of when we least expect it.","['Maybe', 'who', 'we', 'are', 'is not', 'so', 'much', 'about', 'what', 'we', 'do,', 'but', 'rather', 'what', 'we are', 'capable', 'of', 'when', 'we', 'least', 'expect', 'it.']","Maybe who we are is not so much about what we do, but rather what we are capable of when we least expect it.","['Maybe', 'who', 'we', 'are', 'is', 'not', 'so', 'much', 'about', 'what', 'we', 'do', ',', 'but', 'rather', 'what', 'we', 'are', 'capable', 'of', 'when', 'we', 'least', 'expect', 'it', '.']","['maybe', 'who', 'we', 'are', 'is', 'not', 'so', 'much', 'about', 'what', 'we', 'do', ',', 'but', 'rather', 'what', 'we', 'are', 'capable', 'of', 'when', 'we', 'least', 'expect', 'it', '.']","['maybe', 'who', 'we', 'are', 'is', 'not', 'so', 'much', 'about', 'what', 'we', 'do', 'but', 'rather', 'what', 'we', 'are', 'capable', 'of', 'when', 'we', 'least', 'expect', 'it']","['maybe', 'much', 'rather', 'capable', 'least', 'expect']","[('maybe', 'RB'), ('much', 'JJ'), ('rather', 'RB'), ('capable', 'JJ'), ('least', 'JJS'), ('expect', 'VBP')]","['maybe', 'much', 'rather', 'capable', 'least', 'expect']"
13,"For what it’s worth: It’s never too late to be whoever you want to be. I hope you live a life you’re proud of, and if you find you’re not, I hope you have the strength to start over again.","['For', 'what', 'it is', 'worth:', 'it is', 'never', 'too', 'late', 'to', 'be', 'whoever', 'you', 'want', 'to', 'be.', 'I', 'hope', 'you', 'live', 'a', 'life', 'you are', 'proud', 'of,', 'and', 'if', 'you', 'find', 'you are', 'not,', 'I', 'hope', 'you', 'have', 'the', 'strength', 'to', 'start', 'over', 'again.']","For what it is worth: it is never too late to be whoever you want to be. I hope you live a life you are proud of, and if you find you are not, I hope you have the strength to start over again.","['For', 'what', 'it', 'is', 'worth', ':', 'it', 'is', 'never', 'too', 'late', 'to', 'be', 'whoever', 'you', 'want', 'to', 'be', '.', 'I', 'hope', 'you', 'live', 'a', 'life', 'you', 'are', 'proud', 'of', ',', 'and', 'if', 'you', 'find', 'you', 'are', 'not', ',', 'I', 'hope', 'you', 'have', 'the', 'strength', 'to', 'start', 'over', 'again', '.']","['for', 'what', 'it', 'is', 'worth', ':', 'it', 'is', 'never', 'too', 'late', 'to', 'be', 'whoever', 'you', 'want', 'to', 'be', '.', 'i', 'hope', 'you', 'live', 'a', 'life', 'you', 'are', 'proud', 'of', ',', 'and', 'if', 'you', 'find', 'you', 'are', 'not', ',', 'i', 'hope', 'you', 'have', 'the', 'strength', 'to', 'start', 'over', 'again', '.']","['for', 'what', 'it', 'is', 'worth', 'it', 'is', 'never', 'too', 'late', 'to', 'be', 'whoever', 'you', 'want', 'to', 'be', 'i', 'hope', 'you', 'live', 'a', 'life', 'you', 'are', 'proud', 'of', 'and', 'if', 'you', 'find', 'you', 'are', 'not', 'i', 'hope', 'you', 'have', 'the', 'strength', 'to', 'start', 'over', 'again']","['worth', 'never', 'late', 'whoever', 'want', 'hope', 'live', 'life', 'proud', 'find', 'hope', 'strength', 'start']","[('worth', 'JJ'), ('never', 'RB'), ('late', 'RB'), ('whoever', 'WP'), ('want', 'VBP'), ('hope', 'NN'), ('live', 'JJ'), ('life', 'NN'), ('proud', 'JJ'), ('find', 'VBP'), ('hope', 'JJ'), ('strength', 'NN'), ('start', 'NN')]","['worth', 'never', 'late', 'whoever', 'want', 'hope', 'live', 'life', 'proud', 'find', 'hope', 'strength', 'start']"
14,"When something bad happens you have three choices. You can let it define you, let it destroy you, or you can let it strengthen you.","['When', 'something', 'bad', 'happens', 'you', 'have', 'three', 'choices.', 'You', 'can', 'let', 'it', 'define', 'you,', 'let', 'it', 'destroy', 'you,', 'or', 'you', 'can', 'let', 'it', 'strengthen', 'you.']","When something bad happens you have three choices. You can let it define you, let it destroy you, or you can let it strengthen you.","['When', 'something', 'bad', 'happens', 'you', 'have', 'three', 'choices', '.', 'You', 'can', 'let', 'it', 'define', 'you', ',', 'let', 'it', 'destroy', 'you', ',', 'or', 'you', 'can', 'let', 'it', 'strengthen', 'you', '.']","['when', 'something', 'bad', 'happens', 'you', 'have', 'three', 'choices', '.', 'you', 'can', 'let', 'it', 'define', 'you', ',', 'let', 'it', 'destroy', 'you', ',', 'or', 'you', 'can', 'let', 'it', 'strengthen', 'you', '.']","['when', 'something', 'bad', 'happens', 'you', 'have', 'three', 'choices', 'you', 'can', 'let', 'it', 'define', 'you', 'let', 'it', 'destroy', 'you', 'or', 'you', 'can', 'let', 'it', 'strengthen', 'you']","['something', 'bad', 'happens', 'three', 'choices', 'let', 'define', 'let', 'destroy', 'let', 'strengthen']","[('something', 'NN'), ('bad', 'JJ'), ('happens', 'VBZ'), ('three', 'CD'), ('choices', 'NNS'), ('let', 'VBP'), ('define', 'VB'), ('let', 'VB'), ('destroy', 'JJ'), ('let', 'VB'), ('strengthen', 'VB')]","['something', 'bad', 'happens', 'three', 'choice', 'let', 'define', 'let', 'destroy', 'let', 'strengthen']"
15,"A true hero isn’t measured by the size of their strength, but by the strength of their heart.","['A', 'true', 'hero', 'is not', 'measured', 'by', 'the', 'size', 'of', 'their', 'strength,', 'but', 'by', 'the', 'strength', 'of', 'their', 'heart.']","A true hero is not measured by the size of their strength, but by the strength of their heart.","['A', 'true', 'hero', 'is', 'not', 'measured', 'by', 'the', 'size', 'of', 'their', 'strength', ',', 'but', 'by', 'the', 'strength', 'of', 'their', 'heart', '.']","['a', 'true', 'hero', 'is', 'not', 'measured', 'by', 'the', 'size', 'of', 'their', 'strength', ',', 'but', 'by', 'the', 'strength', 'of', 'their', 'heart', '.']","['a', 'true', 'hero', 'is', 'not', 'measured', 'by', 'the', 'size', 'of', 'their', 'strength', 'but', 'by', 'the', 'strength', 'of', 'their', 'heart']","['true', 'hero', 'measured', 'size', 'strength', 'strength', 'heart']","[('true', 'JJ'), ('hero', 'NN'), ('measured', 'VBD'), ('size', 'NN'), ('strength', 'NN'), ('strength', 'NN'), ('heart', 'NN')]","['true', 'hero', 'measured', 'size', 'strength', 'strength', 'heart']"
16,"Nature has been for me, for as long as I remember, a source of solace, inspiration, adventure, and delight; a home, a teacher, a companion.","['Nature', 'has', 'been', 'for', 'me,', 'for', 'as', 'long', 'as', 'I', 'remember,', 'a', 'source', 'of', 'solace,', 'inspiration,', 'adventure,', 'and', 'delight;', 'a', 'home,', 'a', 'teacher,', 'a', 'companion.']","Nature has been for me, for as long as I remember, a source of solace, inspiration, adventure, and delight; a home, a teacher, a companion.","['Nature', 'has', 'been', 'for', 'me', ',', 'for', 'as', 'long', 'as', 'I', 'remember', ',', 'a', 'source', 'of', 'solace', ',', 'inspiration', ',', 'adventure', ',', 'and', 'delight', ';', 'a', 'home', ',', 'a', 'teacher', ',', 'a', 'companion', '.']","['nature', 'has', 'been', 'for', 'me', ',', 'for', 'as', 'long', 'as', 'i', 'remember', ',', 'a', 'source', 'of', 'solace', ',', 'inspiration', ',', 'adventure', ',', 'and', 'delight', ';', 'a', 'home', ',', 'a', 'teacher', ',', 'a', 'companion', '.']","['nature', 'has', 'been', 'for', 'me', 'for', 'as', 'long', 'as', 'i', 'remember', 'a', 'source', 'of', 'solace', 'inspiration', 'adventure', 'and', 'delight', 'a', 'home', 'a', 'teacher', 'a', 'companion']","['nature', 'long', 'remember', 'source', 'solace', 'inspiration', 'adventure', 'delight', 'home', 'teacher', 'companion']","[('nature', 'NN'), ('long', 'JJ'), ('remember', 'NN'), ('source', 'NN'), ('solace', 'NN'), ('inspiration', 'NN'), ('adventure', 'NN'), ('delight', 'VBD'), ('home', 'NN'), ('teacher', 'NN'), ('companion', 'NN')]","['nature', 'long', 'remember', 'source', 'solace', 'inspiration', 'adventure', 'delight', 'home', 'teacher', 'companion']"
17,I took a walk in the woods and came out taller than the trees.,"['I', 'took', 'a', 'walk', 'in', 'the', 'woods', 'and', 'came', 'out', 'taller', 'than', 'the', 'trees.']",I took a walk in the woods and came out taller than the trees.,"['I', 'took', 'a', 'walk', 'in', 'the', 'woods', 'and', 'came', 'out', 'taller', 'than', 'the', 'trees', '.']","['i', 'took', 'a', 'walk', 'in', 'the', 'woods', 'and', 'came', 'out', 'taller', 'than', 'the', 'trees', '.']","['i', 'took', 'a', 'walk', 'in', 'the', 'woods', 'and', 'came', 'out', 'taller', 'than', 'the', 'trees']","['took', 'walk', 'woods', 'came', 'taller', 'trees']","[('took', 'VBD'), ('walk', 'NN'), ('woods', 'NNS'), ('came', 'VBD'), ('taller', 'NN'), ('trees', 'NNS')]","['took', 'walk', 'wood', 'came', 'taller', 'tree']"
18,"There is something infinitely healing in the repeated refrains of nature – the assurance that dawn comes after night, and spring after winter.","['There', 'is', 'something', 'infinitely', 'healing', 'in', 'the', 'repeated', 'refrains', 'of', 'nature', '–', 'the', 'assurance', 'that', 'dawn', 'comes', 'after', 'night,', 'and', 'spring', 'after', 'winter.']","There is something infinitely healing in the repeated refrains of nature – the assurance that dawn comes after night, and spring after winter.","['There', 'is', 'something', 'infinitely', 'healing', 'in', 'the', 'repeated', 'refrains', 'of', 'nature', '–', 'the', 'assurance', 'that', 'dawn', 'comes', 'after', 'night', ',', 'and', 'spring', 'after', 'winter', '.']","['there', 'is', 'something', 'infinitely', 'healing', 'in', 'the', 'repeated', 'refrains', 'of', 'nature', '–', 'the', 'assurance', 'that', 'dawn', 'comes', 'after', 'night', ',', 'and', 'spring', 'after', 'winter', '.']","['there', 'is', 'something', 'infinitely', 'healing', 'in', 'the', 'repeated', 'refrains', 'of', 'nature', '–', 'the', 'assurance', 'that', 'dawn', 'comes', 'after', 'night', 'and', 'spring', 'after', 'winter']","['something', 'infinitely', 'healing', 'repeated', 'refrains', 'nature', '–', 'assurance', 'dawn', 'comes', 'night', 'spring', 'winter']","[('something', 'NN'), ('infinitely', 'RB'), ('healing', 'VBG'), ('repeated', 'VBN'), ('refrains', 'NNS'), ('nature', 'JJ'), ('–', 'JJ'), ('assurance', 'NN'), ('dawn', 'NN'), ('comes', 'VBZ'), ('night', 'NN'), ('spring', 'NN'), ('winter', 'NN')]","['something', 'infinitely', 'healing', 'repeated', 'refrain', 'nature', '–', 'assurance', 'dawn', 'come', 'night', 'spring', 'winter']"
19,"A walk in nature, walks the soul back home.","['A', 'walk', 'in', 'nature,', 'walks', 'the', 'soul', 'back', 'home.']","A walk in nature, walks the soul back home.","['A', 'walk', 'in', 'nature', ',', 'walks', 'the', 'soul', 'back', 'home', '.']","['a', 'walk', 'in', 'nature', ',', 'walks', 'the', 'soul', 'back', 'home', '.']","['a', 'walk', 'in', 'nature', 'walks', 'the', 'soul', 'back', 'home']","['walk', 'nature', 'walks', 'soul', 'back', 'home']","[('walk', 'NN'), ('nature', 'NN'), ('walks', 'VBZ'), ('soul', 'VBP'), ('back', 'RB'), ('home', 'NN')]","['walk', 'nature', 'walk', 'soul', 'back', 'home']"
20,"I felt my lungs inflate with the onrush of scenery—air, mountains, trees, people. I thought, ‘This is what it is to be happy.’","['I', 'felt', 'my', 'lungs', 'inflate', 'with', 'the', 'onrush', 'of', 'scenery—air,', 'mountains,', 'trees,', 'people.', 'I', 'thought,', '‘This', 'is', 'what', 'it', 'is', 'to', 'be', 'happy.’']","I felt my lungs inflate with the onrush of scenery—air, mountains, trees, people. I thought, ‘This is what it is to be happy.’","['I', 'felt', 'my', 'lungs', 'inflate', 'with', 'the', 'onrush', 'of', 'scenery—air', ',', 'mountains', ',', 'trees', ',', 'people', '.', 'I', 'thought', ',', '‘', 'This', 'is', 'what', 'it', 'is', 'to', 'be', 'happy', '.', '’']","['i', 'felt', 'my', 'lungs', 'inflate', 'with', 'the', 'onrush', 'of', 'scenery—air', ',', 'mountains', ',', 'trees', ',', 'people', '.', 'i', 'thought', ',', '‘', 'this', 'is', 'what', 'it', 'is', 'to', 'be', 'happy', '.', '’']","['i', 'felt', 'my', 'lungs', 'inflate', 'with', 'the', 'onrush', 'of', 'scenery—air', 'mountains', 'trees', 'people', 'i', 'thought', '‘', 'this', 'is', 'what', 'it', 'is', 'to', 'be', 'happy', '’']","['felt', 'lungs', 'inflate', 'onrush', 'scenery—air', 'mountains', 'trees', 'people', 'thought', '‘', 'happy', '’']","[('felt', 'JJ'), ('lungs', 'NNS'), ('inflate', 'VBP'), ('onrush', 'JJ'), ('scenery—air', 'NN'), ('mountains', 'NNS'), ('trees', 'NNS'), ('people', 'NNS'), ('thought', 'VBD'), ('‘', 'NNPS'), ('happy', 'JJ'), ('’', 'NN')]","['felt', 'lung', 'inflate', 'onrush', 'scenery—air', 'mountain', 'tree', 'people', 'thought', '‘', 'happy', '’']"
